prompt,response
Where is the hospital entrance?,1
Can I speak to the receptionist?,2
What time does the hospital open?,3
Do I need an appointment to see the doctor?,4
"Is the emergency room open?""",5
Where is the waiting area?,6
What floor is the pediatric ward on?,7
Please take a seat in the waiting room.,8
Do you have your health insurance card?,9
Can I get directions to the lab?,10
I am here to visit a patient.,11
What are the visiting hours?,12
Can I see the doctor now?,13
Is this the maternity ward?,14
How long do I have to wait?,15
Please sign in at the front desk.,16
Where can I find the drugs store?,17
What is your full name?,18
Please take a number and wait your turn.,19
Are there elevators in this building?,20
The cafeteria is on the ground floor.,21
Where is the nearest restroom?,22
Do you accept walk-in patients (first timers)?,23
Can I have a copy of my medical records?,24
What services does this hospital provide?,25
Do you have a parking space available?,26
Can I have a wheel chair?,27
Is the doctor running late?,28
Please go to Room 5 for your consultation.,29
Where is the radiology department?,30
Where is the outpatient department (OPD)?,31
Is this a private or government hospital?,32
How much is the consultation fee?,33
I need help filling out this form.,34
Can I have a translator?,35
The nurse will call you shortly.,36
Who is the doctor on duty?,37
I am here for a follow-up appointment.,38
Where can I get my blood test done?,39
What should I do after registration?,40
Are there any specialists available today?,41
Do you have a pediatrician on-site?,42
Can I book an appointment for tomorrow?,43
Please check in with the triage nurse.,44
Can someone assist me to the car?,45
I have an appointment with the Doctor.,46
What is the hospital's call line?,47
Are there any COVID-19 restrictions here?,48
Please sanitize your hands before entering.,49
Do you have a map of the hospital?,50
Where do I make payment?,51
Is there a shuttle service to the hospital?,52
Can I get a wheelchair for my elderly parent?,53
Where is the nearest ATM?,54
Is there a lost and found office?,55
Can I get a copy of my test results?,56
Where is the nearest drug store outside the hospital?,57
Is there a church or prayer room in the hospital?,58
Can I get a second opinion from another doctor?,59
Where is the nearest coffee shop?,60
Is there any place I can smoke?,61
Can I get a refund for overpayment?,62
Where is the nearest bus stop?,63
Is there a patient advocate I can speak to?,64
Can I get a copy of my clearance summary?,65
Where is the nearest taxi stand?,66
Is there a room for mothers to breast feed their babies?,67
Can I get a copy of my X-ray results?,68
Where is the nearest train station?,69
Is there a donation box in the hospital?,70
Can I get a copy of my MRI scan?,71
Where is the nearest parking space?,72
Is there a patient feedback form I can fill out?,73
Can I get a copy of my ultrasound results?,74
Where is the nearest hotel for people from afar?,75
Is there a patient support group I can join?,76
Can I get a copy of my CT scan results?,77
Where is the nearest train station?,78
Is there a patient education center in the hospital?,79
Can I get a copy of my test results?,80
Where is the nearest airport?,81
Is there a patient library in the hospital?,82
Can I get a copy of my blood test results?,83
Where is the nearest place to borrow a car?,84
Is there a patient waiting-room in the hospital?,85
Can I get a copy of my ECG results?,86
Can I get a copy of the autopsy results?,87
Is there a patient counseling service available?,88
Can I get a copy of my allergy test results?,89
Where is the nearest filling station?,90
Is there a patient transportation service?,91
Can I get a copy of my genetic test results?,92
Where is the nearest market?,93
Is there a patient financial assistance program?,94
Can I get a copy of my vaccination records?,95
Where is the washroom?,96
Is there a patient wellness health program?,97
Can I get a copy of my surgical report?,98
Where is the nearest bank?,99
Is there a patient recovery room?,100
Can I get a copy of my test results?,101
Where is the nearest laundry?,102
Is there a patient rehabilitation center?,103
Please take a seat.,104
Walk to the far end.,105
Is there any queit room?,106
The security guard is at the entrance,107
Please follow the nurse to the examination room.,108
You can wait here until we are ready for you.,109
We're running a bit late today. Thank you for understanding.,110
Please ensure all forms a filled out before your appointment.,111
"If you need assistance, feel free to ask any of the staff.",112
A nurse will attend to you shortly.,113
Your appointment will begin soon. thank you for your patience.,114
Please take a seat and we will call you shortly.,115
My teeth hurst.,116
Where is the nearest bookstore?,117
Please take a seat for me to check your blood pressure.,118
It's an emergency,119
Where should I go for my injection,120
Is there a patient massage therapy service?,121
Please sanitize your hands before entering.,122
Can I see your NHIS card?,123
Do you have a Ghana card?,124
Have you been here before?,125
Is this your first time?,126
I知 here for a blood test.,127
What foods should I avoid?,128
I think I broke my arm.,129
I was in a car accident.,130
Can I see a doctor immediately?,131
Can I bring flowers to the patient?,132
Where is the ICU?,133
Is the patient allowed to receive visitors?,134
Can I drive myself home?,135
Do I need to schedule another appointment?,136
I think there's fire in the next room.,137
The nurse was rude to me.,138
Can I file a complaint?,139
Where is the suggestion box?,140
What time does the hospital open?,141
Thank you for your help.,142
Can I get a flu injection here?,143
Is there a support group for patients?,144
Is there a patient wound care service?,145
He was shot by accident,146
She is losing blood,147
She stepped on a nail,148
Where do I make payment?,149
Can I donate blood here?,150
The room is too cold.,151
I lost my personal belongings.,152
The medication is making me feel worse.,153
I didn稚 receive my meal.,154
The wait time is too long.,155
What are the symptoms?,156
Please take off your shoes and step on the weighing scale.,157
Can I stay overnight with the patient?,158
What are the visiting hours?,159
I知 having trouble breathing.,160
I知 in severe pain.,161
let me check your temperature.,162
Your temperature is high.,163
I知 feeling dizzy and nauseous.,164
Please can I get drinking water?,165
I need to confirm my appointment time.,166
You need to update your insurance information.,167
Your NHIS card has expired.,168
You need to renew your NHIS card.,169
